input,output
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16, -0.65]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16, -0.65, 1.41]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16, -0.65, 1.41, -0.16]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16, -0.65, 1.41, -0.16, 0.24]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16, -0.65, 1.41, -0.16, 0.24, -1.27]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-1.26, -0.84, -0.73, 0.03, 0.52, -1.19, 0.02, 0.32, -1.76, 0.75, -0.03, 0.22, -0.82, 2.14, 0.52, 0.9, -0.15, -1.54, -0.01, -1.6, 0.78, 1.12, -0.33, 0.2, -0.31, -1.4, 0.06, 0.29, 0.17, 1.35, 0.7, -0.23, 1.36, -1.72, 0.16, -0.65, 1.41, -0.16, 0.24, -1.27, -1.72]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[0.4],True
"[0.4, 1.84]","[True, True]"
"[0.4, 1.84, -0.25]","[True, True, False]"
"[0.4, 1.84, -0.25, 0.5]","[True, True, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04]","[True, True, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3]","[True, True, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43]","[True, True, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43]","[True, True, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91]","[True, True, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96]","[True, True, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47]","[True, True, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23]","[True, True, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87]","[True, True, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28, 0.42]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28, 0.42, 1.42]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28, 0.42, 1.42, -1.66]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28, 0.42, 1.42, -1.66, -0.51]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28, 0.42, 1.42, -1.66, -0.51, 0.48]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[0.4, 1.84, -0.25, 0.5, -2.04, -0.3, -0.43, -1.43, -0.91, 1.96, -1.47, -1.23, -0.87, -0.31, -0.55, -1.12, -0.72, 0.09, -1.04, 0.64, -0.05, -0.83, 0.47, 0.64, 0.41, 1.37, 0.48, 1.48, 0.48, 0.92, 0.95, 1.36, 0.54, -0.18, 0.28, 0.42, 1.42, -1.66, -0.51, 0.48, 1.0]","[True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
[-0.61],False
"[-0.61, -1.78]","[False, False]"
"[-0.61, -1.78, -0.88]","[False, False, False]"
"[-0.61, -1.78, -0.88, -0.45]","[False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59]","[False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24]","[False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57]","[False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81]","[False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06]","[False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73]","[False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92]","[False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05]","[False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57]","[False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19, -1.07]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19, -1.07, -2.28]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19, -1.07, -2.28, -0.66]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19, -1.07, -2.28, -0.66, 1.01]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19, -1.07, -2.28, -0.66, 1.01, -1.64]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
"[-0.61, -1.78, -0.88, -0.45, -0.59, 1.24, -0.57, -1.81, 0.06, 1.73, -0.92, 0.05, -0.57, 0.55, 0.78, 1.18, 0.79, -1.54, -0.63, 1.95, 1.19, -1.07, -2.28, -0.66, 1.01, -1.64, -0.03]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]"
